Frame 107 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 107 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 108 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 108 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 108 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 109 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 109 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 109 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 110 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 110 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 110 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 111 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 111 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 111 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 112 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 112 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 112 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 113 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 113 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
